AI_engineering_skills_penetration_factor,Country,Country_label
1.4,GB,United Kingdom
1.318,DE,Germany
1.229,FR,France
1.101,ES,Spain
0.94,TR,TÃ¼rkiye
0.924,NL,Netherlands
0.899,IT,Italy
0.783,PL,Poland
0.768,CH,Switzerland
0.712,SE,Sweden
0.627,BE,Belgium
0.619,IE,Ireland
0.615,PT,Portugal
0.599,GR,Greece
0.586,DK,Denmark
0.571,RO,Romania
0.563,FI,Finland
0.553,AT,Austria
0.467,HU,Hungary
0.462,NO,Norway
0.459,CZ,Czech Republic
0.35,LT,Lithuania
0.309,HR,Croatia
0.28,EE,Estonia
0.255,CY,Cyprus
0.243,LU,Luxembourg
0.231,SI,Slovenia
0.222,LV,Latvia
0.081,IS,Iceland