AI_engineering_skills_penetration_factor,Country,Country_label,Industry
2.05517,US,United States,Education
1.91275,IN,India,Education
1.21742,FR,France,Education
1.20498,CA,Canada,Education
1.09068,GB,United Kingdom,Education
1.07973,DE,Germany,Education
1.0246,AU,Australia,Education
1.01963,BR,Brazil,Education
1.01223,ES,Spain,Education
1.00731,AR,Argentina,Education
0.95445,IL,Israel,Education
0.94729,ID,Indonesia,Education
0.90662,TR,TÃ¼rkiye,Education
0.86474,CH,Switzerland,Education
0.82091,KR,Korea,Education
0.76251,MX,Mexico,Education
0.74891,SA,Saudi Arabia,Education
0.71412,SG,Singapore,Education
0.70776,IT,Italy,Education
0.67867,NL,Netherlands,Education