Date,Data_volume,# AI Projects
2011,Total AI projects,1456
2012,Total AI projects,3177
2013,Total AI projects,7379
2014,Total AI projects,15473
2015,Total AI projects,31049
2016,Total AI projects,59093
2017,Total AI projects,125541
2018,Total AI projects,181062
2019,Total AI projects,209433
2020,Total AI projects,302978
2021,Total AI projects,310301
2022,Total AI projects,341791
2023,Total AI projects,419584.94485294115
2011,AI projects with location,1268
2012,AI projects with location,2653
2013,AI projects with location,6058
2014,AI projects with location,12301
2015,AI projects with location,24197
2016,AI projects with location,45023
2017,AI projects with location,92700
2018,AI projects with location,129213
2019,AI projects with location,154090
2020,AI projects with location,221904
2021,AI projects with location,217639
2022,AI projects with location,224161
2023,AI projects with location,259611.6176470588